retained_card29_sales,retained_card29_revenue,residual_transfer_rate,replacement_revenue,affected_card29_baseline_revenue,revenue_change
35,1540.0,0.0,2143.6385106081398,1232.0,911.6385106081398
35,1540.0,0.1,2183.3447564373646,1232.0,951.3447564373646
35,1540.0,0.2,2223.05100226659,1232.0,991.0510022665899
35,1540.0,0.3,2262.7572480958147,1232.0,1030.7572480958147
35,1540.0,0.4,2302.4634939250395,1232.0,1070.4634939250395
35,1540.0,0.5,2342.169739754265,1232.0,1110.1697397542648
35,1540.0,0.6,2381.8759855834896,1232.0,1149.8759855834896
35,1540.0,0.7,2421.5822314127145,1232.0,1189.5822314127145
35,1540.0,0.8,2461.2884772419397,1232.0,1229.2884772419397
35,1540.0,0.9,2500.9947230711646,1232.0,1268.9947230711646
35,1540.0,1.0,2540.70096890039,1232.0,1308.7009689003899
36,1584.0,0.0,2143.6385106081398,1188.0,955.6385106081398
36,1584.0,0.1,2183.3447564373646,1188.0,995.3447564373646
36,1584.0,0.2,2223.05100226659,1188.0,1035.0510022665899
36,1584.0,0.3,2262.7572480958147,1188.0,1074.7572480958147
36,1584.0,0.4,2302.4634939250395,1188.0,1114.4634939250395
36,1584.0,0.5,2342.169739754265,1188.0,1154.1697397542648
36,1584.0,0.6,2381.8759855834896,1188.0,1193.8759855834896
36,1584.0,0.7,2421.5822314127145,1188.0,1233.5822314127145
36,1584.0,0.8,2461.2884772419397,1188.0,1273.2884772419397
36,1584.0,0.9,2500.9947230711646,1188.0,1312.9947230711646
36,1584.0,1.0,2540.70096890039,1188.0,1352.7009689003899
37,1628.0,0.0,2143.6385106081398,1144.0,999.6385106081398
37,1628.0,0.1,2183.3447564373646,1144.0,1039.3447564373646
37,1628.0,0.2,2223.05100226659,1144.0,1079.0510022665899
37,1628.0,0.3,2262.7572480958147,1144.0,1118.7572480958147
37,1628.0,0.4,2302.4634939250395,1144.0,1158.4634939250395
37,1628.0,0.5,2342.169739754265,1144.0,1198.1697397542648
37,1628.0,0.6,2381.8759855834896,1144.0,1237.8759855834896
37,1628.0,0.7,2421.5822314127145,1144.0,1277.5822314127145
37,1628.0,0.8,2461.2884772419397,1144.0,1317.2884772419397
37,1628.0,0.9,2500.9947230711646,1144.0,1356.9947230711646
37,1628.0,1.0,2540.70096890039,1144.0,1396.7009689003899
38,1672.0,0.0,2143.6385106081398,1100.0,1043.6385106081398
38,1672.0,0.1,2183.3447564373646,1100.0,1083.3447564373646
38,1672.0,0.2,2223.05100226659,1100.0,1123.0510022665899
38,1672.0,0.3,2262.7572480958147,1100.0,1162.7572480958147
38,1672.0,0.4,2302.4634939250395,1100.0,1202.4634939250395
38,1672.0,0.5,2342.169739754265,1100.0,1242.1697397542648
